BBC Radio 1	BBC One
Haarlem Tennyson 2nd Baron Tennyson	Hallam Tennyson 2nd Baron Tennyson
George Papandreou	George Papandreou
Chinese Taipei Womens National Football Team	Chinese Taipei womens national football team
Ruhr Stadium	Ruhrstadion
Outbound Love	Outbound Love
National Cheng Kung University	National Cheng Kung University
Ministry of Culture of the Peoples Republic of China	Ministry of Culture of the Peoples Republic of China
John Acherley Dew	John Dew
Adachi Tokyo	Adachi Tokyo
Ibán Cuadrado	Ibán Cuadrado
Pauletta	Pauleta
Northeast India	Northeast India
Surface Pro 2	Surface Pro 2
Robert Tevers	Robert Trivers
Iwate	Iwate Prefecture
Herman van Rompuy	Herman Van Rompuy
Sony Animation	Sony Pictures Animation
Chris Weitz	Chris Weitz
MALICE MIZER	Malice Mizer
Fraser alphabet	Fraser alphabet
Shenzhou 6	Shenzhou 6
Kwak Taehwi	Kwak Taehwi
IPhone 5s	IPhone 5S
STAR	Star
Jack W Szostak	Jack W Szostak
Kuniaki Koiso	Kuniaki Koiso
Kyōiku	Kyōiku
Daisuke Sakata	Daisuke Sakata
Salar language	Salar language
Tomo Hemed	Tomer Hemed
County Durham	County Durham
Egirls	Egirls
Hebei	Hebei
Kunitachi	Kunitachi Tokyo
Indonesian	Indonesian language
Ichibu to ZenbuDive	Dive
President of the European Council	President of the European Council
Golden Gale	Gold Typhoon
Grand Duke Guillaume	Guillaume Hereditary Grand Duke of Luxembourg
IPad Pro	IPad Pro
Lee Taemin	Lee Taemin
Branko Ilić	Branko Ilić
Aramaic	Aramaic alphabet
Donnie Yen	Donnie Yen
Okayama Prefecture	Okayama Prefecture
Prince Takahito Mikasa	Takahito Prince Mikasa
Nikola Petkovic	Nikola Petković
Michael Marrone	Michael Marrone
Jermaine Beckford	Jermaine Beckford
McLaren Automotive	McLaren Automotive
Chakra	Chakra
Duncan Edward Odgerton	Duncan Oughton
Wang Liang	Wang Liang
Monaco Athletic Association Football Club	AS Monaco FC
Kawasakiku	Kawasakiku Kawasaki
Vladimir Kirillovich	Grand Duke Vladimir Kirillovich of Russia
Li Keqiang	Li Keqiang
SaintMartin	Collectivity of Saint Martin
Maxi Rodríguez	Maxi Rodríguez
2012 Summer Olympics Mens 400m Freestyle	Swimming at the 2012 Summer Olympics  Mens 400 metre freestyle
Zlatan Ibrahimovic	Zlatan Ibrahimović
Communist Party of Cuba	Communist Party of Cuba
University of Freiburg	University of Freiburg
Kara Wai	Kara Hui
Haha	Haha
Haruhi Suzumiya series	Haruhi Suzumiya
Henry Brockholst Livingston	Henry Brockholst Livingston
Grand Duchess Alexandra Nikolaevna	Grand Duchess Alexandra Nikolaevna of Russia
Biljilio Barco Vargas	Virgilio Barco Vargas
San Jose State University	San Jose State University
Wallalunga Football Club	Vålerenga Fotball
Litex Football Club	PFC Litex Lovech
Cinemax	Cinemax
Nanjing University	Nanjing University
Pallava Grantha	Grantha alphabet
Juventus Football Club	Juventus FC
New Mexico Thunderbird	New Mexico Thunderbirds
Lech Wałęsa	Lech Wałęsa
Hüseyin Hilmi Pasha	Hüseyin Hilmi Pasha
Carlos	Carlos Duke of Parma
Hsu Shuiteh	Hsu Shuiteh
Ringo Starr	Ringo Starr
SinoTibetan Language Department	SinoTibetan languages
Zhu Xi	Zhu Xi
Ōyama Iwao	Ōyama Iwao
Park Jungmin	Park Jungmin
Alexander Kokolin	Aleksandr Kokorin
Tang Ruizong	Emperor Ruizong of Tang
Yuen Long Football Club	Yuen Long FC
Úrvalsdeild	Úrvalsdeild
Miralem Pjanic	Miralem Pjanić
chandigarh	Chandigarh
Urasoe Okinawa	Urasoe Okinawa
Royal Dutch Football Association	Royal Dutch Football Association
Carl Valery	Carl Valeri
Worcester City Football Club	Worcester City FC
Otto Weininger	Otto Weininger
Piotr Jaroszewicz	Piotr Jaroszewicz
Suzuki Escudo	Suzuki Escudo
