Abdullah Gul	Abdullah Gül
Kim Dae-jung	Kim Dae-jung
National Front (France)	National Front (France)
Hong Kong Division D Football League	Hong Kong Fourth Division League
Songshan District (Taiwan)	Songshan District, Taipei
Ernst King	Ernest King
Colentis Paulista Sports Club	Sport Club Corinthians Paulista
The Kingdom of Württemberg	Kingdom of Württemberg
IBooks	IBooks
Joachim Gauck	Joachim Gauck
Hohhot	Hohhot
John Wall	John Wall (basketball)
Gaston Ramelis	Gastón Ramírez
Jesper Grenshire	Jesper Grønkjær
Laconnei	Laconnex
Ernest Rutherford	Ernest Rutherford
Convair	Convair
Federica Mogherini	Federica Mogherini
Ahmed Shah Bahadur	Ahmad Shah Bahadur
Yu Hai	Yu Hai
Govishian	Gwich’in language
Ignatius Loyola	Ignatius of Loyola
Linux	Linux
F-15E Strike Eagle fighter-bomber	McDonnell Douglas F-15E Strike Eagle
Ito Hirofumi	Itō Hirobumi
Corey Booker	Cory Booker
Luzhu District	Lujhu District
Vassiliki Sanu	Vassiliki Thanou-Christophilou
Feng Guozhang	Feng Guozhang
Perfect Crime	Perfect Crime (album)
Christian Nimet	Krisztián Németh
Semeria	Sammir
Yampa River	Yampa River
nicosia	Nicosia
Eric Harris and Dylan Klebold	Eric Harris and Dylan Klebold
Italian-Western Romance	Italo-Western languages
Wanna Mama	Divas in Distress
Block B	Block B
Rong Yiren	Rong Yiren
Dingxi	Dingxi
Au Qianyi	Cindy Au
Ahmed Martin-Davtari	Ahmad Matin-Daftari
Chinese characters	Chinese characters
Sun Xiang	Sun Xiang
Ishigaya	City of Rockdale
Bukit Jalil National Stadium	Bukit Jalil National Stadium
Malay	Malay language
esbjerg	Esbjerg
Walter Gilbert	Walter Gilbert
Chris Paul	Chris Paul
Shoushan District	Moriyama-ku, Nagoya
Keiyo Road	Keiyō Road
Universal Studios Hollywood	Universal Studios Hollywood
Aaron Burr	Aaron Burr
Jiang Minshou	Kang Min-soo
Rudolf Hess	Rudolf Hess
Anhui Province	Anhui
The First Confession of Love (Song)	Baby One More Time (song)
Lin Fengjiao	Lin Feng-jiao
Sai Chong	Say Chhum
London Heathrow Airport	Heathrow Airport
Yunfu City	Yunfu
Zhang Linpeng	Zhang Linpeng
Qatar Star Football League	Qatar Stars League
Rhodesia	Rhodesia
Bob Casey	Bob Casey, Jr.
Alex Lynn	Alex Lynn
Heechul	Kim Heechul
Samsung Group	Samsung
Kingdom of Iraq	Kingdom of Iraq
alcoy	Alcoy, Spain
Igbo	Igbo language
Napoleon I	Napoleon
Alexander Millerand	Alexandre Millerand
Barnsley Football Club	Barnsley F.C.
Tokyo Incident	Tokyo Jihen
Sardin Skoda Sports	Skoda Xanthi F.C.
Lu'an	Lu'an
2012 Summer Olympics	2012 Summer Olympics
Han Seung-soo	Han Seung-soo
Carl XVI Gustaf	Carl XVI Gustaf of Sweden
Mali	Mari language
woods	Shulin District
sky (album)	Sky (Faye Wong album)
Royal Astronomical Society Gold Medal	Gold Medal of the Royal Astronomical Society
Doom Series	Doom (series)
Vasily Danilovich Sokolovsky	Vasily Sokolovsky
Prince Arthur (Duke of Connaught and Strathearn)	Prince Arthur, Duke of Connaught and Strathearn
Butterfly (Kumi Koda single)	Butterfly (Kumi Koda song)
Preston Football Club	Preston North End F.C.
NVIDIA GeForce 9	GeForce 9 series
Huesca Province	Province of Huesca
Think of me no more tears	Think of Me No More Tears
The Knights Hospitaller	Knights Hospitaller
Girls' Generation (Japanese Album)	Girls' Generation (2011 album)
Comcast	Comcast
Imir Haka	Emil Hácha
Kurdish Supreme Council	Kurdish Supreme Committee
Oromo	Oromo people
LOVE PiECE	Love Piece
Britney (Album)	Britney (album)
Muse Band	Muse (band)
Kanaan Banana	Canaan Banana
Warringa Council	Warringah Council
Marilyn Manson (Band)	Marilyn Manson (band)
srinagar	Srinagar
Vivendi	Vivendi
coalition90 greens	Alliance '90 The Greens
Zhu Zhenmo	Joo Jin-mo
